evento_id,evento,evento_exemplo,tipo_evento,local,n_artigos,n_classificados,score_medio,media_sentimento,muito_negativo,negativo,neutro,positivo,muito_positivo,n/a,n_positivas,n_negativas,share_positivo,share_negativo,proporcao_positivas,proporcao_negativas,peso_positivo,peso_negativo,titulos_exemplo
desaparecimento-jose-carlos-simonin-copacabana-2026,desaparecimento-jose-carlos-simonin-copacabana-2026,Desaparecimento de José Carlos Simonin em Copacabana,violencia/crime,"Copacabana, Rio de Janeiro",3,3,-1.3333,-1.3333,1,2,0,0,0,0,0,3,0.0,1.0,0.0,1.0,0,4,"Pai de acusado de estupro coletivo em Copacabana, José Carlos Simonin está desaparecido, diz família | Pai de acusado de estupro coletivo em Copacabana, José Carlos Simonin está desaparecido, diz família | 'Meu marido sumiu': Ex-subsecretário e pai de acusado em estupro coletivo em Copacabana é dado como desaparecido pela família"
inauguracao-base-seguranca-presente-iguaba-grande-2026,inauguracao-base-seguranca-presente-iguaba-grande-2026,Inauguração de base do Segurança Presente em Iguaba Grande,inauguracao/expansao,Iguaba Grande,3,3,-0.3333,-0.3333,0,2,0,1,0,0,1,2,0.3333,0.6667,0.3333,0.6667,1,2,Iguaba Grande ganha base do Segurança Presente; programa chega à 63ª unidade no RJ | Castro nega recomposição salarial a servidores e diz que não vai ceder: ‘Não vou quebrar o estado por causa disso’ | Castro nega recomposição salarial a servidores e diz que não vai ceder: ‘Não vou quebrar o estado por causa disso’
transferencia-seguranca-presente-para-policia-militar-2026,transferencia-seguranca-presente-para-policia-militar-2026,Transferência do programa Segurança Presente para a Polícia Militar,gestao/administracao,Rio de Janeiro,3,3,0.0,0.0,0,1,1,1,0,0,1,1,0.3333,0.3333,0.3333,0.3333,1,1,"Governador em exercício, Ricardo Couto, transfere Segurança Presente e Barricada Zero para a Polícia Militar | Paes chama transferência do Segurança Presente para a PM de ‘golaço’; vídeo | Segurança Presente: expansão do programa ocorria por indicação de políticos e não acompanhava a mancha criminal"
